subject, condition, nAverages, accuracy, nCorrect, nCued
S3, hybrid-10Hz, 1, 70.83, 51, 72
S3, hybrid-10Hz, 2, 72.22, 52, 72
S3, hybrid-10Hz, 3, 91.67, 66, 72
S3, hybrid-10Hz, 4, 90.28, 65, 72
S3, hybrid-10Hz, 5, 98.61, 71, 72
S3, hybrid-10Hz, 6, 98.61, 71, 72
S3, hybrid-10Hz, 7, 100.00, 72, 72
S3, hybrid-10Hz, 8, 97.22, 70, 72
S3, hybrid-10Hz, 9, 100.00, 72, 72
S3, hybrid-10Hz, 10, 100.00, 72, 72
S3, hybrid-12Hz, 1, 69.44, 50, 72
S3, hybrid-12Hz, 2, 86.11, 62, 72
S3, hybrid-12Hz, 3, 90.28, 65, 72
S3, hybrid-12Hz, 4, 93.06, 67, 72
S3, hybrid-12Hz, 5, 95.83, 69, 72
S3, hybrid-12Hz, 6, 95.83, 69, 72
S3, hybrid-12Hz, 7, 100.00, 72, 72
S3, hybrid-12Hz, 8, 95.83, 69, 72
S3, hybrid-12Hz, 9, 98.61, 71, 72
S3, hybrid-12Hz, 10, 100.00, 72, 72
S3, hybrid-15Hz, 1, 61.11, 44, 72
S3, hybrid-15Hz, 2, 86.11, 62, 72
S3, hybrid-15Hz, 3, 87.50, 63, 72
S3, hybrid-15Hz, 4, 93.06, 67, 72
S3, hybrid-15Hz, 5, 95.83, 69, 72
S3, hybrid-15Hz, 6, 97.22, 70, 72
S3, hybrid-15Hz, 7, 97.22, 70, 72
S3, hybrid-15Hz, 8, 97.22, 70, 72
S3, hybrid-15Hz, 9, 97.22, 70, 72
S3, hybrid-15Hz, 10, 97.22, 70, 72
