subject, condition, nAverages, accuracy, nCorrect, nCued
S1, oddball, 1, 52.50, 126, 240
S1, oddball, 2, 67.69, 731, 1080
S1, oddball, 3, 81.35, 2343, 2880
S1, oddball, 4, 86.37, 4353, 5040
S1, oddball, 5, 90.05, 5446, 6048
S1, oddball, 6, 91.43, 4608, 5040
S1, oddball, 7, 92.81, 2673, 2880
S1, oddball, 8, 94.07, 1016, 1080
S1, oddball, 9, 100.00, 240, 240
S1, oddball, 10, 100.00, 24, 24
S1, hybrid-12Hz, 1, 42.08, 101, 240
S1, hybrid-12Hz, 2, 59.17, 639, 1080
S1, hybrid-12Hz, 3, 69.24, 1994, 2880
S1, hybrid-12Hz, 4, 79.82, 4023, 5040
S1, hybrid-12Hz, 5, 81.50, 4929, 6048
S1, hybrid-12Hz, 6, 88.79, 4475, 5040
S1, hybrid-12Hz, 7, 90.28, 2600, 2880
S1, hybrid-12Hz, 8, 94.44, 1020, 1080
S1, hybrid-12Hz, 9, 90.00, 216, 240
S1, hybrid-12Hz, 10, 91.67, 22, 24
S1, hybrid-15Hz, 1, 57.92, 139, 240
S1, hybrid-15Hz, 2, 76.94, 831, 1080
S1, hybrid-15Hz, 3, 89.24, 2570, 2880
S1, hybrid-15Hz, 4, 94.94, 4785, 5040
S1, hybrid-15Hz, 5, 98.02, 5928, 6048
S1, hybrid-15Hz, 6, 98.91, 4985, 5040
S1, hybrid-15Hz, 7, 99.13, 2855, 2880
S1, hybrid-15Hz, 8, 99.44, 1074, 1080
S1, hybrid-15Hz, 9, 100.00, 240, 240
S1, hybrid-15Hz, 10, 100.00, 24, 24
S2, oddball, 1, 78.33, 188, 240
S2, oddball, 2, 92.22, 996, 1080
S2, oddball, 3, 95.63, 2754, 2880
S2, oddball, 4, 96.92, 4885, 5040
S2, oddball, 5, 97.44, 5893, 6048
S2, oddball, 6, 98.35, 4957, 5040
S2, oddball, 7, 98.40, 2834, 2880
S2, oddball, 8, 98.61, 1065, 1080
S2, oddball, 9, 100.00, 240, 240
S2, oddball, 10, 95.83, 23, 24
S2, hybrid-12Hz, 1, 58.75, 141, 240
S2, hybrid-12Hz, 2, 72.87, 787, 1080
S2, hybrid-12Hz, 3, 71.60, 2062, 2880
S2, hybrid-12Hz, 4, 80.14, 4039, 5040
S2, hybrid-12Hz, 5, 89.32, 5402, 6048
S2, hybrid-12Hz, 6, 89.62, 4517, 5040
S2, hybrid-12Hz, 7, 92.40, 2661, 2880
S2, hybrid-12Hz, 8, 92.69, 1001, 1080
S2, hybrid-12Hz, 9, 95.83, 230, 240
S2, hybrid-12Hz, 10, 95.83, 23, 24
S2, hybrid-15Hz, 1, 66.25, 159, 240
S2, hybrid-15Hz, 2, 83.89, 906, 1080
S2, hybrid-15Hz, 3, 88.30, 2543, 2880
S2, hybrid-15Hz, 4, 89.40, 4506, 5040
S2, hybrid-15Hz, 5, 95.97, 5804, 6048
S2, hybrid-15Hz, 6, 90.77, 4575, 5040
S2, hybrid-15Hz, 7, 97.19, 2799, 2880
S2, hybrid-15Hz, 8, 97.87, 1057, 1080
S2, hybrid-15Hz, 9, 97.08, 233, 240
S2, hybrid-15Hz, 10, 95.83, 23, 24
S3, oddball, 1, 37.50, 90, 240
S3, oddball, 2, 53.24, 575, 1080
S3, oddball, 3, 64.27, 1851, 2880
S3, oddball, 4, 73.91, 3725, 5040
S3, oddball, 5, 82.01, 4960, 6048
S3, oddball, 6, 86.17, 4343, 5040
S3, oddball, 7, 91.67, 2640, 2880
S3, oddball, 8, 89.35, 965, 1080
S3, oddball, 9, 95.42, 229, 240
S3, oddball, 10, 100.00, 24, 24
S3, hybrid-12Hz, 1, 52.92, 127, 240
S3, hybrid-12Hz, 2, 64.44, 696, 1080
S3, hybrid-12Hz, 3, 76.77, 2211, 2880
S3, hybrid-12Hz, 4, 79.25, 3994, 5040
S3, hybrid-12Hz, 5, 88.66, 5362, 6048
S3, hybrid-12Hz, 6, 93.41, 4708, 5040
S3, hybrid-12Hz, 7, 96.46, 2778, 2880
S3, hybrid-12Hz, 8, 97.41, 1052, 1080
S3, hybrid-12Hz, 9, 100.00, 240, 240
S3, hybrid-12Hz, 10, 100.00, 24, 24
S3, hybrid-15Hz, 1, 62.92, 151, 240
S3, hybrid-15Hz, 2, 72.69, 785, 1080
S3, hybrid-15Hz, 3, 84.76, 2441, 2880
S3, hybrid-15Hz, 4, 90.32, 4552, 5040
S3, hybrid-15Hz, 5, 94.49, 5715, 6048
S3, hybrid-15Hz, 6, 97.02, 4890, 5040
S3, hybrid-15Hz, 7, 98.54, 2838, 2880
S3, hybrid-15Hz, 8, 99.44, 1074, 1080
S3, hybrid-15Hz, 9, 100.00, 240, 240
S3, hybrid-15Hz, 10, 100.00, 24, 24
