subject, condition, nAverages, accuracy, nCorrect, nCued
S1, oddball, 1, 75.00, 18, 24
S1, oddball, 2, 87.50, 21, 24
S1, oddball, 3, 100.00, 24, 24
S1, oddball, 4, 100.00, 24, 24
S1, oddball, 5, 95.83, 23, 24
S1, oddball, 6, 95.83, 23, 24
S1, oddball, 7, 100.00, 24, 24
S1, oddball, 8, 95.83, 23, 24
S1, oddball, 9, 100.00, 24, 24
S1, oddball, 10, 100.00, 24, 24
S1, hybrid-12Hz, 1, 41.67, 10, 24
S1, hybrid-12Hz, 2, 54.17, 13, 24
S1, hybrid-12Hz, 3, 79.17, 19, 24
S1, hybrid-12Hz, 4, 87.50, 21, 24
S1, hybrid-12Hz, 5, 91.67, 22, 24
S1, hybrid-12Hz, 6, 91.67, 22, 24
S1, hybrid-12Hz, 7, 95.83, 23, 24
S1, hybrid-12Hz, 8, 91.67, 22, 24
S1, hybrid-12Hz, 9, 95.83, 23, 24
S1, hybrid-12Hz, 10, 100.00, 24, 24
S1, hybrid-15Hz, 1, 79.17, 19, 24
S1, hybrid-15Hz, 2, 87.50, 21, 24
S1, hybrid-15Hz, 3, 100.00, 24, 24
S1, hybrid-15Hz, 4, 87.50, 21, 24
S1, hybrid-15Hz, 5, 100.00, 24, 24
S1, hybrid-15Hz, 6, 100.00, 24, 24
S1, hybrid-15Hz, 7, 100.00, 24, 24
S1, hybrid-15Hz, 8, 100.00, 24, 24
S1, hybrid-15Hz, 9, 100.00, 24, 24
S1, hybrid-15Hz, 10, 100.00, 24, 24
S2, oddball, 1, 91.67, 22, 24
S2, oddball, 2, 100.00, 24, 24
S2, oddball, 3, 95.83, 23, 24
S2, oddball, 4, 95.83, 23, 24
S2, oddball, 5, 100.00, 24, 24
S2, oddball, 6, 95.83, 23, 24
S2, oddball, 7, 100.00, 24, 24
S2, oddball, 8, 100.00, 24, 24
S2, oddball, 9, 100.00, 24, 24
S2, oddball, 10, 100.00, 24, 24
S2, hybrid-12Hz, 1, 62.50, 15, 24
S2, hybrid-12Hz, 2, 79.17, 19, 24
S2, hybrid-12Hz, 3, 87.50, 21, 24
S2, hybrid-12Hz, 4, 87.50, 21, 24
S2, hybrid-12Hz, 5, 83.33, 20, 24
S2, hybrid-12Hz, 6, 83.33, 20, 24
S2, hybrid-12Hz, 7, 91.67, 22, 24
S2, hybrid-12Hz, 8, 91.67, 22, 24
S2, hybrid-12Hz, 9, 91.67, 22, 24
S2, hybrid-12Hz, 10, 95.83, 23, 24
S2, hybrid-15Hz, 1, 66.67, 16, 24
S2, hybrid-15Hz, 2, 100.00, 24, 24
S2, hybrid-15Hz, 3, 95.83, 23, 24
S2, hybrid-15Hz, 4, 95.83, 23, 24
S2, hybrid-15Hz, 5, 91.67, 22, 24
S2, hybrid-15Hz, 6, 91.67, 22, 24
S2, hybrid-15Hz, 7, 95.83, 23, 24
S2, hybrid-15Hz, 8, 95.83, 23, 24
S2, hybrid-15Hz, 9, 91.67, 22, 24
S2, hybrid-15Hz, 10, 95.83, 23, 24
S3, oddball, 1, 50.00, 12, 24
S3, oddball, 2, 54.17, 13, 24
S3, oddball, 3, 66.67, 16, 24
S3, oddball, 4, 79.17, 19, 24
S3, oddball, 5, 87.50, 21, 24
S3, oddball, 6, 91.67, 22, 24
S3, oddball, 7, 95.83, 23, 24
S3, oddball, 8, 100.00, 24, 24
S3, oddball, 9, 100.00, 24, 24
S3, oddball, 10, 95.83, 23, 24
S3, hybrid-12Hz, 1, 54.17, 13, 24
S3, hybrid-12Hz, 2, 66.67, 16, 24
S3, hybrid-12Hz, 3, 79.17, 19, 24
S3, hybrid-12Hz, 4, 75.00, 18, 24
S3, hybrid-12Hz, 5, 91.67, 22, 24
S3, hybrid-12Hz, 6, 91.67, 22, 24
S3, hybrid-12Hz, 7, 100.00, 24, 24
S3, hybrid-12Hz, 8, 100.00, 24, 24
S3, hybrid-12Hz, 9, 100.00, 24, 24
S3, hybrid-12Hz, 10, 100.00, 24, 24
S3, hybrid-15Hz, 1, 62.50, 15, 24
S3, hybrid-15Hz, 2, 83.33, 20, 24
S3, hybrid-15Hz, 3, 91.67, 22, 24
S3, hybrid-15Hz, 4, 83.33, 20, 24
S3, hybrid-15Hz, 5, 91.67, 22, 24
S3, hybrid-15Hz, 6, 95.83, 23, 24
S3, hybrid-15Hz, 7, 95.83, 23, 24
S3, hybrid-15Hz, 8, 100.00, 24, 24
S3, hybrid-15Hz, 9, 100.00, 24, 24
S3, hybrid-15Hz, 10, 100.00, 24, 24
