subject, condition, nAverages, accuracy, nCorrect, nCued
S1, oddball, 1, 62.50, 15, 24
S1, oddball, 2, 79.17, 19, 24
S1, oddball, 3, 75.00, 18, 24
S1, oddball, 4, 87.50, 21, 24
S1, oddball, 5, 91.67, 22, 24
S1, oddball, 6, 87.50, 21, 24
S1, oddball, 7, 87.50, 21, 24
S1, oddball, 8, 83.33, 20, 24
S1, oddball, 9, 83.33, 20, 24
S1, oddball, 10, 87.50, 21, 24
S1, hybrid-12Hz, 1, 50.00, 12, 24
S1, hybrid-12Hz, 2, 62.50, 15, 24
S1, hybrid-12Hz, 3, 58.33, 14, 24
S1, hybrid-12Hz, 4, 87.50, 21, 24
S1, hybrid-12Hz, 5, 75.00, 18, 24
S1, hybrid-12Hz, 6, 91.67, 22, 24
S1, hybrid-12Hz, 7, 87.50, 21, 24
S1, hybrid-12Hz, 8, 95.83, 23, 24
S1, hybrid-12Hz, 9, 91.67, 22, 24
S1, hybrid-12Hz, 10, 95.83, 23, 24
S1, hybrid-15Hz, 1, 79.17, 19, 24
S1, hybrid-15Hz, 2, 87.50, 21, 24
S1, hybrid-15Hz, 3, 83.33, 20, 24
S1, hybrid-15Hz, 4, 91.67, 22, 24
S1, hybrid-15Hz, 5, 91.67, 22, 24
S1, hybrid-15Hz, 6, 95.83, 23, 24
S1, hybrid-15Hz, 7, 100.00, 24, 24
S1, hybrid-15Hz, 8, 95.83, 23, 24
S1, hybrid-15Hz, 9, 100.00, 24, 24
S1, hybrid-15Hz, 10, 95.83, 23, 24
S2, oddball, 1, 87.50, 21, 24
S2, oddball, 2, 95.83, 23, 24
S2, oddball, 3, 95.83, 23, 24
S2, oddball, 4, 95.83, 23, 24
S2, oddball, 5, 95.83, 23, 24
S2, oddball, 6, 95.83, 23, 24
S2, oddball, 7, 95.83, 23, 24
S2, oddball, 8, 100.00, 24, 24
S2, oddball, 9, 95.83, 23, 24
S2, oddball, 10, 100.00, 24, 24
S2, hybrid-12Hz, 1, 66.67, 16, 24
S2, hybrid-12Hz, 2, 87.50, 21, 24
S2, hybrid-12Hz, 3, 91.67, 22, 24
S2, hybrid-12Hz, 4, 91.67, 22, 24
S2, hybrid-12Hz, 5, 100.00, 24, 24
S2, hybrid-12Hz, 6, 91.67, 22, 24
S2, hybrid-12Hz, 7, 95.83, 23, 24
S2, hybrid-12Hz, 8, 100.00, 24, 24
S2, hybrid-12Hz, 9, 100.00, 24, 24
S2, hybrid-12Hz, 10, 100.00, 24, 24
S2, hybrid-15Hz, 1, 66.67, 16, 24
S2, hybrid-15Hz, 2, 87.50, 21, 24
S2, hybrid-15Hz, 3, 100.00, 24, 24
S2, hybrid-15Hz, 4, 91.67, 22, 24
S2, hybrid-15Hz, 5, 100.00, 24, 24
S2, hybrid-15Hz, 6, 100.00, 24, 24
S2, hybrid-15Hz, 7, 100.00, 24, 24
S2, hybrid-15Hz, 8, 100.00, 24, 24
S2, hybrid-15Hz, 9, 100.00, 24, 24
S2, hybrid-15Hz, 10, 100.00, 24, 24
S3, oddball, 1, 70.83, 17, 24
S3, oddball, 2, 70.83, 17, 24
S3, oddball, 3, 83.33, 20, 24
S3, oddball, 4, 91.67, 22, 24
S3, oddball, 5, 100.00, 24, 24
S3, oddball, 6, 95.83, 23, 24
S3, oddball, 7, 91.67, 22, 24
S3, oddball, 8, 100.00, 24, 24
S3, oddball, 9, 95.83, 23, 24
S3, oddball, 10, 100.00, 24, 24
S3, hybrid-12Hz, 1, 87.50, 21, 24
S3, hybrid-12Hz, 2, 95.83, 23, 24
S3, hybrid-12Hz, 3, 87.50, 21, 24
S3, hybrid-12Hz, 4, 91.67, 22, 24
S3, hybrid-12Hz, 5, 95.83, 23, 24
S3, hybrid-12Hz, 6, 95.83, 23, 24
S3, hybrid-12Hz, 7, 95.83, 23, 24
S3, hybrid-12Hz, 8, 91.67, 22, 24
S3, hybrid-12Hz, 9, 91.67, 22, 24
S3, hybrid-12Hz, 10, 95.83, 23, 24
S3, hybrid-15Hz, 1, 66.67, 16, 24
S3, hybrid-15Hz, 2, 87.50, 21, 24
S3, hybrid-15Hz, 3, 95.83, 23, 24
S3, hybrid-15Hz, 4, 95.83, 23, 24
S3, hybrid-15Hz, 5, 100.00, 24, 24
S3, hybrid-15Hz, 6, 100.00, 24, 24
S3, hybrid-15Hz, 7, 100.00, 24, 24
S3, hybrid-15Hz, 8, 100.00, 24, 24
S3, hybrid-15Hz, 9, 100.00, 24, 24
S3, hybrid-15Hz, 10, 100.00, 24, 24
