subject, condition, nAverages, accuracy, nCorrect, nCued
S1, hybrid-10Hz, 1, 72.22, 52, 72
S1, hybrid-10Hz, 2, 72.22, 52, 72
S1, hybrid-10Hz, 3, 79.17, 57, 72
S1, hybrid-10Hz, 4, 77.78, 56, 72
S1, hybrid-10Hz, 5, 80.56, 58, 72
S1, hybrid-10Hz, 6, 90.28, 65, 72
S1, hybrid-10Hz, 7, 86.11, 62, 72
S1, hybrid-10Hz, 8, 87.50, 63, 72
S1, hybrid-10Hz, 9, 90.28, 65, 72
S1, hybrid-10Hz, 10, 93.06, 67, 72
S1, hybrid-12Hz, 1, 79.17, 57, 72
S1, hybrid-12Hz, 2, 66.67, 48, 72
S1, hybrid-12Hz, 3, 76.39, 55, 72
S1, hybrid-12Hz, 4, 79.17, 57, 72
S1, hybrid-12Hz, 5, 76.39, 55, 72
S1, hybrid-12Hz, 6, 88.89, 64, 72
S1, hybrid-12Hz, 7, 94.44, 68, 72
S1, hybrid-12Hz, 8, 88.89, 64, 72
S1, hybrid-12Hz, 9, 93.06, 67, 72
S1, hybrid-12Hz, 10, 93.06, 67, 72
S1, hybrid-15Hz, 1, 86.11, 62, 72
S1, hybrid-15Hz, 2, 75.00, 54, 72
S1, hybrid-15Hz, 3, 86.11, 62, 72
S1, hybrid-15Hz, 4, 80.56, 58, 72
S1, hybrid-15Hz, 5, 87.50, 63, 72
S1, hybrid-15Hz, 6, 94.44, 68, 72
S1, hybrid-15Hz, 7, 84.72, 61, 72
S1, hybrid-15Hz, 8, 90.28, 65, 72
S1, hybrid-15Hz, 9, 97.22, 70, 72
S1, hybrid-15Hz, 10, 94.44, 68, 72
S1, hybrid-8-57Hz, 1, 70.83, 51, 72
S1, hybrid-8-57Hz, 2, 62.50, 45, 72
S1, hybrid-8-57Hz, 3, 72.22, 52, 72
S1, hybrid-8-57Hz, 4, 75.00, 54, 72
S1, hybrid-8-57Hz, 5, 80.56, 58, 72
S1, hybrid-8-57Hz, 6, 79.17, 57, 72
S1, hybrid-8-57Hz, 7, 87.50, 63, 72
S1, hybrid-8-57Hz, 8, 87.50, 63, 72
S1, hybrid-8-57Hz, 9, 77.78, 56, 72
S1, hybrid-8-57Hz, 10, 84.72, 61, 72
S1, oddball, 1, 75.00, 54, 72
S1, oddball, 2, 62.50, 45, 72
S1, oddball, 3, 77.78, 56, 72
S1, oddball, 4, 79.17, 57, 72
S1, oddball, 5, 86.11, 62, 72
S1, oddball, 6, 90.28, 65, 72
S1, oddball, 7, 93.06, 67, 72
S1, oddball, 8, 95.83, 69, 72
S1, oddball, 9, 93.06, 67, 72
S1, oddball, 10, 94.44, 68, 72
S2, hybrid-10Hz, 1, 88.89, 64, 72
S2, hybrid-10Hz, 2, 94.44, 68, 72
S2, hybrid-10Hz, 3, 94.44, 68, 72
S2, hybrid-10Hz, 4, 94.44, 68, 72
S2, hybrid-10Hz, 5, 94.44, 68, 72
S2, hybrid-10Hz, 6, 100.00, 72, 72
S2, hybrid-10Hz, 7, 100.00, 72, 72
S2, hybrid-10Hz, 8, 100.00, 72, 72
S2, hybrid-10Hz, 9, 100.00, 72, 72
S2, hybrid-10Hz, 10, 100.00, 72, 72
S2, hybrid-12Hz, 1, 95.83, 69, 72
S2, hybrid-12Hz, 2, 95.83, 69, 72
S2, hybrid-12Hz, 3, 95.83, 69, 72
S2, hybrid-12Hz, 4, 100.00, 72, 72
S2, hybrid-12Hz, 5, 100.00, 72, 72
S2, hybrid-12Hz, 6, 100.00, 72, 72
S2, hybrid-12Hz, 7, 100.00, 72, 72
S2, hybrid-12Hz, 8, 100.00, 72, 72
S2, hybrid-12Hz, 9, 100.00, 72, 72
S2, hybrid-12Hz, 10, 100.00, 72, 72
S2, hybrid-15Hz, 1, 93.06, 67, 72
S2, hybrid-15Hz, 2, 97.22, 70, 72
S2, hybrid-15Hz, 3, 98.61, 71, 72
S2, hybrid-15Hz, 4, 100.00, 72, 72
S2, hybrid-15Hz, 5, 100.00, 72, 72
S2, hybrid-15Hz, 6, 100.00, 72, 72
S2, hybrid-15Hz, 7, 100.00, 72, 72
S2, hybrid-15Hz, 8, 100.00, 72, 72
S2, hybrid-15Hz, 9, 100.00, 72, 72
S2, hybrid-15Hz, 10, 100.00, 72, 72
S2, hybrid-8-57Hz, 1, 90.28, 65, 72
S2, hybrid-8-57Hz, 2, 97.22, 70, 72
S2, hybrid-8-57Hz, 3, 95.83, 69, 72
S2, hybrid-8-57Hz, 4, 94.44, 68, 72
S2, hybrid-8-57Hz, 5, 98.61, 71, 72
S2, hybrid-8-57Hz, 6, 98.61, 71, 72
S2, hybrid-8-57Hz, 7, 98.61, 71, 72
S2, hybrid-8-57Hz, 8, 100.00, 72, 72
S2, hybrid-8-57Hz, 9, 100.00, 72, 72
S2, hybrid-8-57Hz, 10, 98.61, 71, 72
S2, oddball, 1, 93.06, 67, 72
S2, oddball, 2, 100.00, 72, 72
S2, oddball, 3, 100.00, 72, 72
S2, oddball, 4, 98.61, 71, 72
S2, oddball, 5, 100.00, 72, 72
S2, oddball, 6, 100.00, 72, 72
S2, oddball, 7, 100.00, 72, 72
S2, oddball, 8, 100.00, 72, 72
S2, oddball, 9, 100.00, 72, 72
S2, oddball, 10, 100.00, 72, 72
S3, hybrid-10Hz, 1, 75.00, 54, 72
S3, hybrid-10Hz, 2, 69.44, 50, 72
S3, hybrid-10Hz, 3, 79.17, 57, 72
S3, hybrid-10Hz, 4, 84.72, 61, 72
S3, hybrid-10Hz, 5, 91.67, 66, 72
S3, hybrid-10Hz, 6, 88.89, 64, 72
S3, hybrid-10Hz, 7, 97.22, 70, 72
S3, hybrid-10Hz, 8, 95.83, 69, 72
S3, hybrid-10Hz, 9, 94.44, 68, 72
S3, hybrid-10Hz, 10, 95.83, 69, 72
S3, hybrid-12Hz, 1, 69.44, 50, 72
S3, hybrid-12Hz, 2, 75.00, 54, 72
S3, hybrid-12Hz, 3, 77.78, 56, 72
S3, hybrid-12Hz, 4, 87.50, 63, 72
S3, hybrid-12Hz, 5, 86.11, 62, 72
S3, hybrid-12Hz, 6, 88.89, 64, 72
S3, hybrid-12Hz, 7, 91.67, 66, 72
S3, hybrid-12Hz, 8, 95.83, 69, 72
S3, hybrid-12Hz, 9, 91.67, 66, 72
S3, hybrid-12Hz, 10, 93.06, 67, 72
S3, hybrid-15Hz, 1, 73.61, 53, 72
S3, hybrid-15Hz, 2, 70.83, 51, 72
S3, hybrid-15Hz, 3, 75.00, 54, 72
S3, hybrid-15Hz, 4, 87.50, 63, 72
S3, hybrid-15Hz, 5, 84.72, 61, 72
S3, hybrid-15Hz, 6, 87.50, 63, 72
S3, hybrid-15Hz, 7, 94.44, 68, 72
S3, hybrid-15Hz, 8, 93.06, 67, 72
S3, hybrid-15Hz, 9, 94.44, 68, 72
S3, hybrid-15Hz, 10, 98.61, 71, 72
S3, hybrid-8-57Hz, 1, 63.89, 46, 72
S3, hybrid-8-57Hz, 2, 65.28, 47, 72
S3, hybrid-8-57Hz, 3, 70.83, 51, 72
S3, hybrid-8-57Hz, 4, 83.33, 60, 72
S3, hybrid-8-57Hz, 5, 86.11, 62, 72
S3, hybrid-8-57Hz, 6, 81.94, 59, 72
S3, hybrid-8-57Hz, 7, 87.50, 63, 72
S3, hybrid-8-57Hz, 8, 88.89, 64, 72
S3, hybrid-8-57Hz, 9, 93.06, 67, 72
S3, hybrid-8-57Hz, 10, 95.83, 69, 72
S3, oddball, 1, 48.61, 35, 72
S3, oddball, 2, 58.33, 42, 72
S3, oddball, 3, 73.61, 53, 72
S3, oddball, 4, 66.67, 48, 72
S3, oddball, 5, 83.33, 60, 72
S3, oddball, 6, 83.33, 60, 72
S3, oddball, 7, 84.72, 61, 72
S3, oddball, 8, 87.50, 63, 72
S3, oddball, 9, 94.44, 68, 72
S3, oddball, 10, 91.67, 66, 72
S4, hybrid-10Hz, 1, 63.89, 46, 72
S4, hybrid-10Hz, 2, 77.78, 56, 72
S4, hybrid-10Hz, 3, 83.33, 60, 72
S4, hybrid-10Hz, 4, 83.33, 60, 72
S4, hybrid-10Hz, 5, 90.28, 65, 72
S4, hybrid-10Hz, 6, 91.67, 66, 72
S4, hybrid-10Hz, 7, 94.44, 68, 72
S4, hybrid-10Hz, 8, 88.89, 64, 72
S4, hybrid-10Hz, 9, 90.28, 65, 72
S4, hybrid-10Hz, 10, 91.67, 66, 72
S4, hybrid-12Hz, 1, 52.78, 38, 72
S4, hybrid-12Hz, 2, 70.83, 51, 72
S4, hybrid-12Hz, 3, 76.39, 55, 72
S4, hybrid-12Hz, 4, 77.78, 56, 72
S4, hybrid-12Hz, 5, 79.17, 57, 72
S4, hybrid-12Hz, 6, 81.94, 59, 72
S4, hybrid-12Hz, 7, 84.72, 61, 72
S4, hybrid-12Hz, 8, 87.50, 63, 72
S4, hybrid-12Hz, 9, 84.72, 61, 72
S4, hybrid-12Hz, 10, 84.72, 61, 72
S4, hybrid-15Hz, 1, 63.89, 46, 72
S4, hybrid-15Hz, 2, 61.11, 44, 72
S4, hybrid-15Hz, 3, 66.67, 48, 72
S4, hybrid-15Hz, 4, 83.33, 60, 72
S4, hybrid-15Hz, 5, 81.94, 59, 72
S4, hybrid-15Hz, 6, 86.11, 62, 72
S4, hybrid-15Hz, 7, 81.94, 59, 72
S4, hybrid-15Hz, 8, 88.89, 64, 72
S4, hybrid-15Hz, 9, 86.11, 62, 72
S4, hybrid-15Hz, 10, 88.89, 64, 72
S4, hybrid-8-57Hz, 1, 68.06, 49, 72
S4, hybrid-8-57Hz, 2, 75.00, 54, 72
S4, hybrid-8-57Hz, 3, 83.33, 60, 72
S4, hybrid-8-57Hz, 4, 83.33, 60, 72
S4, hybrid-8-57Hz, 5, 87.50, 63, 72
S4, hybrid-8-57Hz, 6, 93.06, 67, 72
S4, hybrid-8-57Hz, 7, 97.22, 70, 72
S4, hybrid-8-57Hz, 8, 94.44, 68, 72
S4, hybrid-8-57Hz, 9, 94.44, 68, 72
S4, hybrid-8-57Hz, 10, 95.83, 69, 72
S4, oddball, 1, 66.67, 48, 72
S4, oddball, 2, 70.83, 51, 72
S4, oddball, 3, 63.89, 46, 72
S4, oddball, 4, 75.00, 54, 72
