subjectR,conditionR,stimStyle,frequency,channelR,runR,fftValue
S1,hybrid-12Hz,hybrid,12,Fp1,1,0.93299682864206
S1,hybrid-12Hz,hybrid,12,Fp1,2,0.418793058615036
S1,hybrid-12Hz,hybrid,12,Fp1,3,0.822129348897433
S1,hybrid-12Hz,hybrid,12,Fp1,4,0.487380157141561
S1,hybrid-12Hz,hybrid,12,Fp1,5,0.617097213326965
S1,hybrid-12Hz,hybrid,12,Fp1,6,0.151923594563855
S1,hybrid-12Hz,hybrid,12,Fp1,7,0.602255565387098
S1,hybrid-12Hz,hybrid,12,Fp1,8,0.437018637608001
S1,hybrid-12Hz,hybrid,12,Fp1,9,0.389794641956442
S1,hybrid-12Hz,hybrid,12,Fp1,10,1.02462676399202
S1,hybrid-12Hz,hybrid,12,Fp1,11,0.389207473809583
S1,hybrid-12Hz,hybrid,12,Fp1,12,0.831056435971084
S1,hybrid-12Hz,hybrid,12,Fp1,13,0.253749812839227
S1,hybrid-12Hz,hybrid,12,Fp1,14,0.78890324024237
S1,hybrid-12Hz,hybrid,12,Fp1,15,0.864346708185665
S1,hybrid-12Hz,hybrid,12,Fp1,16,0.732957793553123
S1,hybrid-12Hz,hybrid,12,Fp1,17,0.365428957215569
S1,hybrid-12Hz,hybrid,12,Fp1,18,0.871850693018677
S1,hybrid-12Hz,hybrid,12,Fp1,19,0.28311383796681
S1,hybrid-12Hz,hybrid,12,Fp1,20,0.489890133426914
S1,hybrid-12Hz,hybrid,12,Fp1,21,0.603261525186945
S1,hybrid-12Hz,hybrid,12,Fp1,22,0.231560525157983
S1,hybrid-12Hz,hybrid,12,Fp1,23,0.913213720816484
S1,hybrid-12Hz,hybrid,12,Fp1,24,0.360475517587226
S1,hybrid-12Hz,hybrid,12,Fp1,25,0.687493549119514
S1,hybrid-12Hz,hybrid,12,Fp1,26,1.09033496327553
S1,hybrid-12Hz,hybrid,12,Fp1,27,0.284772315286251
S1,hybrid-12Hz,hybrid,12,Fp1,28,0.666948849830536
S1,hybrid-12Hz,hybrid,12,Fp1,29,0.858926103611382
S1,hybrid-12Hz,hybrid,12,Fp1,30,1.08668100912043
S1,hybrid-12Hz,hybrid,12,Fp1,31,0.187993270593287
S1,hybrid-12Hz,hybrid,12,Fp1,32,0.223593088864583
S1,hybrid-12Hz,hybrid,12,Fp1,33,0.547425445660844
S1,hybrid-12Hz,hybrid,12,Fp1,34,0.615612849407205
S1,hybrid-12Hz,hybrid,12,Fp1,35,0.820547437373869
S1,hybrid-12Hz,hybrid,12,Fp1,36,0.291172522411191
S1,hybrid-12Hz,hybrid,12,Fp2,1,0.833122315682304
S1,hybrid-12Hz,hybrid,12,Fp2,2,0.397250166532492
S1,hybrid-12Hz,hybrid,12,Fp2,3,0.826986207662345
S1,hybrid-12Hz,hybrid,12,Fp2,4,0.49252894986652
S1,hybrid-12Hz,hybrid,12,Fp2,5,0.601523361315867
S1,hybrid-12Hz,hybrid,12,Fp2,6,0.0416578075875882
S1,hybrid-12Hz,hybrid,12,Fp2,7,0.576548471545227
S1,hybrid-12Hz,hybrid,12,Fp2,8,0.321460400692249
S1,hybrid-12Hz,hybrid,12,Fp2,9,0.328021305608684
S1,hybrid-12Hz,hybrid,12,Fp2,10,0.954078310733313
S1,hybrid-12Hz,hybrid,12,Fp2,11,0.424512706983073
S1,hybrid-12Hz,hybrid,12,Fp2,12,0.808547107924293
S1,hybrid-12Hz,hybrid,12,Fp2,13,0.171497911427464
S1,hybrid-12Hz,hybrid,12,Fp2,14,0.822427127227927
S1,hybrid-12Hz,hybrid,12,Fp2,15,0.71981563518346
S1,hybrid-12Hz,hybrid,12,Fp2,16,0.611983899102666
S1,hybrid-12Hz,hybrid,12,Fp2,17,0.380952062003573
S1,hybrid-12Hz,hybrid,12,Fp2,18,0.877074465161082
S1,hybrid-12Hz,hybrid,12,Fp2,19,0.296271939265267
S1,hybrid-12Hz,hybrid,12,Fp2,20,0.408167900239128
S1,hybrid-12Hz,hybrid,12,Fp2,21,0.608206941112783
S1,hybrid-12Hz,hybrid,12,Fp2,22,0.224458860463136
S1,hybrid-12Hz,hybrid,12,Fp2,23,1.00142598502827
S1,hybrid-12Hz,hybrid,12,Fp2,24,0.285152833559768
S1,hybrid-12Hz,hybrid,12,Fp2,25,0.580011274463348
S1,hybrid-12Hz,hybrid,12,Fp2,26,1.12977824181593
S1,hybrid-12Hz,hybrid,12,Fp2,27,0.209682311362083
S1,hybrid-12Hz,hybrid,12,Fp2,28,0.50999078075288
S1,hybrid-12Hz,hybrid,12,Fp2,29,0.770813848864673
S1,hybrid-12Hz,hybrid,12,Fp2,30,1.11205203712683
S1,hybrid-12Hz,hybrid,12,Fp2,31,0.247606108335904
S1,hybrid-12Hz,hybrid,12,Fp2,32,0.213345854981361
S1,hybrid-12Hz,hybrid,12,Fp2,33,0.49724353275724
S1,hybrid-12Hz,hybrid,12,Fp2,34,0.612319710542237
S1,hybrid-12Hz,hybrid,12,Fp2,35,0.910193160868686
S1,hybrid-12Hz,hybrid,12,Fp2,36,0.295714968407034
S1,hybrid-12Hz,hybrid,12,AF3,1,1.00437463729952
S1,hybrid-12Hz,hybrid,12,AF3,2,0.556824479225641
S1,hybrid-12Hz,hybrid,12,AF3,3,1.00641965526964
S1,hybrid-12Hz,hybrid,12,AF3,4,0.534219926690669
S1,hybrid-12Hz,hybrid,12,AF3,5,0.788657093821667
S1,hybrid-12Hz,hybrid,12,AF3,6,0.0753437911464385
S1,hybrid-12Hz,hybrid,12,AF3,7,0.709901959507254
S1,hybrid-12Hz,hybrid,12,AF3,8,0.579346062459118
